,Vmag,Plx,e_Plx,B-V,SpType
8028,6.82,   0.24,  0.88, 1.874,M2.5II
8029,9.13,  24.30,  2.10, 0.874,K2V
8030,9.43,  -0.50,  1.84, 0.080,B7V
8031,10.24,   3.51,  1.69, 0.580,F5
8032,10.12,  22.11, 14.43, 1.158,
8033,9.63,   2.84,  1.45, 0.312,A2
8034,8.23,  30.58,  2.09, 0.853,K0V
8035,8.6,   6.07,  1.06, 0.538,F8
8036,8.96,   0.99,  1.32, 0.324,A2
8037,10.4,  48.11,  2.01, 1.460,K0
8038,6.33,  18.04,  0.79, 1.020,K2IV
8039,8.92,   1.43,  1.48, 1.287,K2
8040,5.78,   3.57,  0.71,-0.010,B8IIIn
8041,9.77,   6.79,  1.57, 0.767,G5
8042,10.34,   3.05,  3.42, 0.335,A9V
8043,8.89,   0.25,  1.20, 0.113,A0
8044,8.8,   9.45,  1.41, 0.470,F5V
8045,10.93,  88.86,  1.99, 1.525,M2V:
8046,6.57,   6.59,  0.77, 1.075,K1III
8047,8.27,   3.70,  1.33, 1.105,G5
8048,9.52,   8.41,  3.44, 0.629,G1V
8049,11.13,  15.11,  2.17, 1.183,K7V:
8050,7.97,   6.10,  0.74, 1.077,K0III
8051,7.57,   0.44,  0.70, 1.819,K5
8052,9.47,   1.88,  1.11, 0.981,G6/G8IV
8053,8.53,   2.19,  0.98, 1.011,K0III
8054,8.43,  14.55,  1.15, 0.564,F7V
8055,8.87,   3.03,  1.56, 1.190,K1III
8056,9.48,   1.42,  1.11, 0.264,B8
8057,6.66,   3.86,  0.80, 1.614,K5
8058,7.57,   2.99,  0.98, 1.431,K0
8059,9.29,   9.57,  1.08, 0.638,G0
8060,6.76,   2.39,  0.84, 0.433,A7II
8061,10.61,  20.23,  6.05, 1.035,K5
8062,4.01,   4.55,  0.75,-0.098,B2Vpe
8063,11.73,  33.68, 26.00, 1.626,K5
8064,8.42,  74.45,  1.11, 1.202,K5V
8065,8.89,   4.17,  1.16, 0.240,A3
8066,9.25,   5.59,  5.75, 0.666,G0
8067,9.83,  11.23,  1.37, 0.743,G0
8068,9.55,   0.39,  1.45, 0.868,B8Ib
8069,10.02,   7.30,  1.86, 0.634,G2V
8070,10.11,   2.77,  1.64, 0.466,F5
8071,10.87,   5.38,  2.46, 0.915,K0
8072,8.51,  21.20,  3.47, 0.820,K0
8073,7.99,   4.18,  0.89, 1.286,K3III
8074,7.92,   6.91,  1.18, 1.060,G5
8075,6.94,   5.88,  0.80, 0.234,A2
8076,6.59,   6.61,  0.59, 1.035,G5
8077,11.77,   4.06,  3.25,-0.359,B
8078,9.1,   7.10,  1.19, 0.918,K1III
8079,8.84,   3.09,  1.20, 1.106,K0III
8080,6.32,   7.08,  0.80, 0.879,G8III-IV SB
8081,9.23,   8.23,  0.88, 0.633,F7V
8082,9.91,   3.85,  1.44, 0.515,G2V
8083,8.08,   3.58,  1.10, 1.063,G5
8084,8.28,   2.74,  1.05, 1.201,K0
8085,8.65,   4.95,  1.11, 1.072,K0
8086,7.73,   3.77,  0.94, 0.048,A0
8087,7.43,   1.73,  0.83, 0.012,B9
8088,6.2,   4.55,  0.90, 1.537,K0
8089,8.62,   1.44,  1.17, 0.943,G8III
8090,8.48,   9.12,  1.00, 0.437,G0
8091,8.62,   2.87,  1.11, 0.196,A3V
8092,8.8,   3.84,  1.41, 0.909,G5
8093,8.74,  10.90,  1.12, 0.489,F5
8094,8.37,   1.87,  1.26, 0.264,F0
8095,9.74,   3.41,  1.70, 0.585,G0
8096,3.49, 274.17,  0.80, 0.727,G8V
8097,7.89,   4.50,  0.92, 1.080,K0
8098,9.38,   0.15,  1.86, 0.580,G8III:
8099,7.84,   2.74,  1.00, 0.972,G5
8100,7.31,   1.61,  0.90, 1.220,F5Ia
8101,9.38,   4.06,  1.65, 0.381,F0V
8102,7.01,   3.98,  0.78, 0.027,B9
8103,7.27,  22.38,  0.87, 0.601,F8
8104,8.78,   4.01,  1.07, 0.220,Am
8105,7.15,  14.27,  2.02,      ,F5+...
8106,8.81,   5.28,  0.92, 0.125,A0
8107,8.62,   3.26,  1.27, 0.632,G5
8108,9.03,   3.72,  1.28, 1.609,M1III:
8109,6.18,  12.63,  0.77, 0.131,A3V
8110,8.47,   8.49,  1.13, 0.404,F5
8111,8.8,   2.23,  1.04, 1.004,K1III
8112,8.27,   1.66,  1.06, 0.207,A2
8113,9.71,  14.23,  0.94, 0.780,K0
8114,9.36,   2.46,  1.14, 0.328,F0
8115,8.11,  17.29,  1.09, 0.635,G3V
8116,6.73,  13.95,  0.75, 0.247,A3
8117,7.19,   2.91,  0.79,-0.009,A0
8118,8.81,   7.50,  1.20, 0.549,F7V
8119,10.66,   0.63,  2.17, 0.505,B2V
8120,8.64,   4.24,  0.97, 1.110,K0
8121,6.32,   6.04,  0.75, 1.419,K5III
8122,8.74,  21.09,  1.17, 0.685,G6V
8123,10.24,   1.73,  5.45, 0.499,F5
8124,10.21,  11.33,  1.44, 0.498,G0
8125,7.81,   7.75,  1.58,-0.200,F5
8126,6.79,   5.61,  0.58,-0.067,Ap Si
8127,8.08,   3.05,  1.03, 0.995,G8III
8128,6.73,   1.95,  0.92, 1.605,K0
8129,6.82,   3.90,  0.79, 1.425,K3III
8130,8.79,   2.51,  1.27, 1.266,K2III
8131,10.21,   2.49,  1.78, 1.264,K0
8132,7.3,   7.29,  0.82, 0.188,A2
8133,7.69,   6.32,  0.83, 1.047,K0III
8134,8.34,   4.54,  1.23, 1.085,K1III
8135,8.67,   2.65,  0.94, 1.015,K0III
8136,8.58,   4.98,  1.20, 1.020,G8V
8137,6.45,   6.09,  0.94, 0.864,G0
8138,8.07,   5.49,  1.03, 0.423,F0
8139,7.26,   8.67,  0.63, 0.333,F0
8140,9.66,   8.32,  1.68, 0.450,F5
8141,8.5,   7.25,  1.01, 0.593,F8/G0V
8142,6.25,   5.82,  0.68, 0.062,A2V
8143,8.83,   5.72,  2.06, 0.600,F6/F7V
8144,10.17,   1.91,  1.37, 0.474,F0V
8145,7.84,  11.95,  0.97, 0.369,A3
8146,10.07,   7.88,  1.69, 0.695,G5
8147,7.5,   4.04,  1.00, 0.003,A0
8148,10.4,   0.66,  1.37, 0.060,
8149,9.04,   5.44,  0.84, 0.443,F5V
8150,8.44,   5.57,  1.15, 0.389,F0
8151,8.46,   0.88,  1.14, 1.097,K1III
8152,8.49,   2.12,  1.14, 0.385,F2/F3IV/V
8153,6.27,  30.71,  0.81, 0.720,G5IV
8154,6.95,   5.66,  0.94, 1.574,M2III
8155,9.77,  16.65,  1.37, 0.804,K0
8156,9.59,  10.29,  1.40, 0.685,G8IV/V
8157,11.39,   5.56,  2.07,-0.052,F2
8158,7.02,   5.32,  0.65, 1.137,G5
8159,8.76,   4.55,  1.30, 1.044,K0III
8160,9.31,  12.63,  3.55, 0.885,G5
8161,9.9,   4.83,  1.87, 0.506,F5V
8162,7.66,   9.20,  0.84, 0.308,A8IV+...
8163,7.87,   4.03,  2.05, 0.378,F0...
8164,9.57,   3.45,  1.44, 0.113,A0
8165,11.01,   4.15,  2.30, 0.578,
8166,9.1,   7.46,  1.00, 0.417,F3V
8167,7.19,   7.22,  1.00, 1.060,K0
8168,9.68,   4.78,  1.60, 0.557,G0
8169,7.89,   3.85,  1.14, 1.450,M...
8170,9.28,   7.58,  1.19, 0.519,F8V
8171,7.2,   4.69,  0.91, 0.986,K0III
8172,9.63,   9.11,  3.83, 0.540,F5
8173,9.09,   2.76,  1.43, 1.478,K3/K4III:
8174,8.2,   0.21,  0.93, 1.480,K0
8175,10.97,  19.59, 12.58, 0.539,
8176,9.89,  -1.69,  1.78, 1.722,R6
8177,9.65,   3.58,  0.93, 0.466,F0/F2IV/V
8178,8.64,   1.07,  0.97, 0.361,A0
8179,8.7,   4.58,  0.88, 0.954,G8III
8180,8.27,   3.47,  0.97, 1.110,K0III-IV
8181,9.15,  11.82,  1.50, 0.565,G0V
8182,8.51,  14.28,  1.16, 0.609,G1/G2V
8183,8.97,   8.47,  1.09, 0.574,G0V
8184,11.42,  40.43,  2.67, 1.330,M:
8185,11.75,   0.34,  2.83, 1.220,Gp
8186,8.32,   7.95,  1.05, 0.501,F6V
8187,9.56,  13.56,  1.04, 0.665,G8V
8188,7.51,  10.43,  0.89, 0.320,A5
8189,11.39,  31.08,  2.29, 1.412,
8190,7.38,   1.50,  0.97, 1.649,M...
8191,9.65,   8.98,  1.65, 0.641,G3/G5V
8192,4.26,  12.63,  0.86, 0.942,K0III
8193,7.35,   7.19,  0.78, 0.501,F5III/IV
8194,8.38,   3.53,  1.30, 0.781,K0/K1III+..
8195,10.02,  -0.06,  1.51, 1.152,K0
8196,8.61,   1.24,  1.12, 0.978,G8III/IV
8197,8.75,   5.69,  1.71, 0.900,G5
8198,8.77,   8.55,  1.12, 0.380,F2III
8199,9.72,   5.52,  1.35, 0.456,F5
8200,7.67,   3.37,  1.15, 1.686,M1III
8201,8.4,   6.18,  1.01, 0.962,K2
8202,9.5,   2.31,  1.57, 1.041,K0
8203,5.29,  36.46,  1.01, 0.395,F2IV
8204,6.55,   5.37,  0.74,-0.026,A2p...
8205,6.99,   7.85,  0.89, 0.138,A3
8206,10.82,   4.31,  1.84, 0.222,A5V
8207,7.99,   3.49,  0.95, 1.112,G5V
8208,8.52,   5.18,  1.04, 0.109,A0
8209,8.91,   1.65,  1.15, 0.263,A2
8210,8.74,   6.25,  1.07, 0.556,F8IV
8211,9.84,   5.92,  1.39, 0.459,F5
8212,8.22,   3.44,  1.03, 1.039,G5
8213,9.89,  11.38,  1.70, 0.787,K1IV
8214,10.13,  24.49,  1.95, 1.104,K5
8215,9.17,  14.72,  1.26, 0.780,K0
8216,9.27,   5.50,  1.45, 0.528,F6V
8217,9.6,   2.29,  1.35, 1.177,K0
8218,9.48,  29.96,  1.44, 1.126,K5
8219,6.83,   6.24,  0.89, 0.362,A5
8220,8.79,   3.99,  1.09, 0.988,G5
8221,8.08,   8.03,  1.10, 0.863,G5
8222,8.8,   2.98,  0.77, 1.165,K2III
8223,8.99,   3.99,  1.27, 0.260,B9V
8224,5.37,   6.40,  0.78, 1.517,K4III
8225,7.69,   1.02,  0.98, 1.004,G8III-IV
8226,8.71,  19.40,  1.25, 0.657,G3V
8227,6.38,  23.16,  0.81, 0.366,F2V
8228,8.46,   3.50,  1.27, 1.334,K0
8229,8.7,   2.31,  1.29,-0.045,B1II
8230,9.88,  10.53,  2.99, 0.545,F7/F8IV/V
8231,10.26,   2.84,  2.22, 0.439,F2V
8232,7.93,   4.07,  0.95, 1.493,K5
8233,8.83,  -1.79,  2.42, 0.724,B5Iab
8234,5.49,   4.80,  0.63, 1.615,M3III
8235,5.04,  17.54,  0.62, 0.031,A1V
8236,8.84,   3.28,  1.20,-0.018,B0
8237,9.18,   6.34,  1.27, 0.599,G0
8238,7.55,   2.19,  0.69, 1.621,K5
8239,8.43,   8.86,  0.77, 0.418,F5
8240,9.29,   0.95,  1.28,-0.120,B2
8241,8.95,   7.05,  1.32, 0.556,F8
8242,8.85,   7.80,  1.11, 0.385,F5
8243,9.16,   6.17,  1.38, 0.546,F5/F6V
8244,8.37,  11.18,  1.08, 0.428,F5V
8245,9.35,  12.68,  1.23, 0.748,K0/1V (+K)
8246,8.54,   7.60,  1.50, 0.417,F2
8247,8.11,   1.67,  1.10, 1.579,M1III
8248,8.77,   7.93,  1.12, 0.562,G0
8249,10.01,  -0.15,  1.24, 0.190,
8250,10.41,   4.29,  2.47, 0.440,F5
8251,7.48,   1.99,  0.89,-0.013,A0
8252,7.87,  13.46,  1.04, 0.539,F5
8253,9.83,   4.59,  1.67, 0.559,F7/F8IV
8254,8.48,  -0.68,  1.16, 0.651,B6Iab
8255,10.42,   2.65,  1.81, 1.854,
8256,9.09,   2.43,  1.13, 1.107,K0
8257,8.83,   2.13,  0.79, 0.966,G8III/IV
8258,8.1,   4.01,  1.05, 0.944,G8III/IV
8259,10.32,   5.45,  1.61, 0.480,F8
8260,8.82,   8.12,  1.20, 0.502,F5V
8261,8.91,   2.44,  1.19, 1.051,K2
8262,7.52,   3.65,  1.00, 1.050,G5
8263,8.45,   2.29,  1.15, 0.941,G0
8264,10.13,  10.10,  2.15, 0.600,G2
8265,6.55,   4.61,  0.87, 0.256,A9III
8266,7.96,   4.17,  1.03, 1.120,G5
8267,7.35,  11.61,  0.64, 0.803,G8IV
8268,9.34,   6.47,  2.89, 0.513,G0
8269,8.91,  43.37,  1.38, 1.044,K5
8270,8.65,   3.21,  1.27, 0.495,G0
8271,8.33,   8.07,  1.26, 0.554,F7IV
8272,7.69,   7.93,  0.69, 0.453,F5V
8273,8.34,   4.09,  1.16, 1.140,K1III
8274,8.41,   3.81,  1.68, 0.275,A7V
8275,8.1,   7.67,  1.10, 0.944,K0IV
8276,8.95,   5.96,  3.08, 1.200,F8
8277,8.34,   7.61,  2.32, 0.526,F8
8278,8.94,   5.96,  3.08, 0.580,F8
8279,8.13,  18.61,  1.01, 0.626,F8
8280,9.25,  10.03,  1.00, 0.681,G5V
8281,7.64,   2.48,  0.94, 1.454,K5III
8282,7.35,  14.29,  0.97, 0.606,G0V
8283,9.65,   4.53,  1.40, 0.670,G1V
8284,8.25,   2.90,  0.96, 1.039,K0III
8285,8.38,   8.90,  0.79, 0.355,F0V
8286,7.78,   8.40,  0.92, 0.325,F0
8287,8.81,   9.74,  1.26, 0.460,F3V
8288,10.95,   1.35,  2.12, 0.492,A
8289,9.57,   6.70,  5.12, 0.535,F5
8290,6.7,  10.08,  0.86, 0.070,A1V
8291,8.48,  -0.45,  1.27, 2.266,M2III
8292,10.09,  15.38,  1.89, 0.695,K0
8293,9.43,  10.60,  0.93, 0.588,G0V
8294,7.51,   3.33,  0.99, 1.308,K3III
8295,9.46,   4.02,  1.28, 1.237,K1III
8296,7.39,   6.42,  0.96, 0.374,F0
8297,8.39,   7.91,  0.99, 0.528,F8
8298,8.36,   1.51,  1.21, 1.260,K2
8299,9.53,   0.18,  1.79, 0.691,B9Iab
8300,7.05,   3.86,  0.90,-0.017,B9
8301,7.74,   5.04,  0.99, 1.114,G5III
8302,8.01,   2.29,  1.07, 0.050,A0
8303,9.08,   0.81,  1.37, 0.944,K0
8304,9.33,   1.29,  1.61, 1.047,K0II/III
8305,8.67,  11.66,  1.12, 0.578,G0
8306,10.43,  -0.85,  3.25, 1.071,F6
8307,9.54,  -3.14,  3.62, 0.000,B3
8308,9.94,   6.46,  1.27, 0.417,sdF2:
8309,11.31,  -1.41,  2.57,      ,
8310,8.5,   2.95,  1.13, 1.608,K7
8311,8.15,   1.83,  0.97, 1.075,K0III
8312,7.37,   5.11,  0.84, 0.167,A3V
8313,9.89,   6.05,  1.50, 0.657,F8
8314,6.18,   5.79,  0.76, 1.544,K5/M0III
8315,6.76,   3.56,  0.79, 1.074,G9Ib
8316,7.61,   5.55,  0.92, 0.254,A7III
8317,8.91,   1.77,  1.03, 0.166,A0
8318,8.89,   2.40,  1.28, 1.172,K0
8319,9.09,  -1.80,  1.56, 0.644,B1.5Ia
8320,9.17,   5.45,  1.34, 0.558,F6V
8321,8.83,   1.61,  1.42, 1.436,K2
8322,7.8,   5.02,  1.05, 1.187,G5
8323,8.41,   3.67,  1.25, 1.368,K2
8324,9.44,   9.74,  1.52, 0.519,F6V
8325,8.4,   5.68,  1.13, 1.069,K1IIICN...
8326,7.87,   4.46,  0.92,-0.009,A0
8327,8.39,   1.87,  1.35, 0.135,A0
8328,9.6,   4.83,  1.47, 0.979,K0
8329,8.59,   4.40,  1.38, 1.696,K5
8330,8.09,   1.53,  0.71, 1.083,K0III
8331,8.45,   2.45,  1.00, 1.431,K2
8332,8.27,   1.87,  0.77, 1.608,M1III
8333,7.84,  11.04,  0.99, 0.408,F5
8334,9.8,   1.42,  1.48, 0.515,F3V
8335,7.79,   5.23,  1.02, 1.051,G5
8336,8.7,   8.50,  1.30, 0.508,F5
8337,9.78,   2.95,  1.42, 0.384,F2V
8338,7.02,   2.12,  0.84, 1.666,M1/M2III
8339,8.09,   1.27,  0.96, 1.499,K5III
8340,8.98,  25.79,  1.28, 0.795,K0V
8341,6.55,   4.11,  0.89, 1.389,K3III
8342,9.74,   3.78,  1.43, 0.463,F3V
8343,8.22,  12.64,  1.13, 0.517,F8
8344,8.65,   7.78,  0.71, 0.430,F5IV/V
8345,8.82,   2.10,  1.13, 1.659,K2
8346,7.96,   5.81,  1.33, 0.544,F6/F7V
8347,8.84,   2.58,  1.08,-0.104,B8V
8348,10.16,   2.41,  1.62, 1.197,K0
8349,9.46,   8.92,  1.33, 0.585,F8IV
8350,10.39,  -4.05,  9.19, 0.214,
8351,7.44,   3.34,  0.89,-0.059,B9
8352,8.45,   5.13,  1.99, 0.976,K1III
8353,9.25,   1.62,  1.18, 1.568,K5
8354,8.41,  13.02,  1.01, 0.530,F5V
8355,9.74,  30.78,  1.60, 1.144,K5V
8356,5.63, 100.24,  0.68, 0.804,K0V
8357,8.49,   4.29,  1.01, 0.985,K0
8358,8.85,   2.38,  1.16, 1.255,K1/K2III
8359,10.13,   2.59,  1.62, 0.478,
8360,6.05,  16.13,  0.52, 0.338,F0III
8361,9.02,   2.37,  1.23, 0.958,G8III
8362,8.74,   2.83,  1.14, 1.180,K1III
8363,6.33,   5.85,  0.72, 1.016,K0III
8364,6.33,  17.15,  0.78, 0.461,F6V
8365,8.63,   2.79,  1.11, 1.006,G5
8366,9.11,   7.26,  1.30, 0.458,F5IV/V
8367,9.73,   4.83,  1.55, 0.616,G3V
8368,9.69,   8.25,  1.07, 0.626,G2IV/V
8369,8.73,   2.34,  1.22, 1.340,K2
8370,8.26,   4.71,  1.05, 0.250,A2
8371,8.76,   2.46,  2.09, 0.317,A3
8372,9.44,   1.82,  1.49, 0.984,G2III
8373,8.73,   3.29,  1.14, 1.200,K0
8374,9.79,   8.38,  1.45, 0.555,F8V
8375,12.79,  -6.10,  4.27,      ,
8376,12.24,  48.23,  4.35, 1.695,M2
8377,9.46,   9.90,  1.38, 0.546,G1V
8378,8.69,   3.09,  1.17, 0.397,F0
8379,8.87,   3.57,  1.25, 0.155,B9V
8380,8.25,   3.27,  0.82, 1.059,K0III
8381,5.86,  11.37,  0.76,-0.039,B9.5V
8382,8.33,   4.24,  0.85, 1.141,K2III
8383,10.69,  14.02,  1.79, 0.916,
8384,8.95,   2.58,  1.21, 0.871,K0
8385,9.08,   5.23,  1.28, 0.482,F5V
8386,8.43,  11.35,  1.11, 0.515,F5
8387,8.03,   2.72,  1.09, 1.028,G5
8388,9.24,  13.33,  1.04, 0.763,G8V
8389,9.71,   8.14,  1.03, 0.481,G0
8390,9.57,   9.22,  1.58, 0.602,G0V
8391,9.97,   8.01,  3.01, 0.486,F8V
8392,7.13,  22.16,  0.77, 0.637,G4V
8393,7.35,  11.35,  0.88, 0.681,G2IV
8394,8.58,   2.55,  1.22, 1.027,G8V
8395,10.07,   4.29,  1.77, 0.540,F8
8396,8.59,   4.02,  1.16, 0.360,F0V
8397,5.91,   9.95,  0.89, 0.970,G9III
8398,9.29,  -1.52,  1.28, 1.052,K0III
8399,8.35,   3.01,  0.97, 0.034,A0
8400,8.03,   4.52,  0.70, 0.947,K0III
8401,8.34,   2.48,  1.08, 1.291,K0
8402,8.16,   2.48,  1.17, 0.909,G8III
8403,9.26,   6.20,  1.34, 1.090,K0
8404,9.77,   5.51,  1.79, 0.630,G5
8405,9.24,   1.30,  1.38, 1.111,G5
8406,8.49,   8.38,  1.11, 0.303,F2
8407,8.5,  10.09,  1.49, 0.200,A5
8408,7.43,   1.05,  0.90, 0.279,B2Ib
8409,8.59,   8.02,  1.01, 0.360,F0
8410,7.11,   8.76,  0.95, 0.280,F0V
8411,8.3,   9.68,  1.08, 0.725,G0
8412,9.14,   3.30,  0.86, 1.312,K5
8413,8.37,   7.86,  1.09, 0.485,F5V
8414,7.23,   2.76,  0.90, 1.593,K5III
8415,9.91,  11.00,  2.16, 0.594,G3V
8416,9.15,   0.28,  1.40, 1.223,K0III
8417,5.94,  10.57,  0.72, 0.975,K0III
8418,8.74,   3.54,  1.12, 0.913,G0
8419,9.09,  18.56,  1.36, 0.804,K0
8420,9.6,   3.57,  1.38, 0.552,F6V
8421,8.48,   2.67,  0.84, 1.199,K2III
8422,7.04,   5.27,  0.78, 1.194,K0
8423,9.76,   3.98,  1.36, 0.567,F7IV
8424,7.57,  10.89,  0.82, 0.430,F3V
8425,8.86,   9.06,  1.17, 0.395,F3III/IV
8426,5.78,  36.65,  0.73, 0.572,F8V
8427,7.9,   5.91,  0.89, 0.469,F3/F5IV
8428,12.32,   2.92,  3.27,-0.060,sdB:
8429,9.02,   3.93,  1.23, 1.003,G8/K0IVp...
8430,9.23,   1.06,  1.29, 0.910,K0III
8431,9.69,  19.97,  1.72, 0.800,G5
8432,9.39,   7.04,  1.42, 0.552,G2/G3V
8433,7.58,   4.42,  0.79, 0.972,G8III
8434,10.88,   3.50,  1.52, 0.581,
8435,8.34,   6.17,  1.48, 1.200,G8V
8436,8.61,   0.90,  1.22, 1.346,G5
8437,8.76,  12.01,  1.22, 0.534,F6V
8438,7.64,   4.43,  0.73,-0.048,B9V
8439,9.25,   1.62,  1.34, 0.867,G5
8440,10.43,   9.91,  3.50, 0.670,G5 + G5
8441,7.58,  10.29,  0.87, 0.333,F0
8442,9.94,  11.21,  1.34, 0.759,
8443,10.96,   0.33,  2.17, 0.760,
8444,9.82,   6.49,  1.65, 0.660,G0
8445,9.49,   2.88,  1.19, 0.060,A0
8446,11.04,  31.33,  1.98, 1.312,
8447,7.37,  10.29,  0.99, 0.262,A3
8448,9.48,   6.54,  1.36, 0.670,G2V
8449,9.48,   1.93,  1.16, 1.087,G8III
8450,9.45,   4.40,  1.05, 0.434,F2V
8451,9.17,   5.33,  1.31,      ,K2
8452,8.65,   6.41,  1.30, 0.431,F3V
8453,8.23,   6.55,  1.01, 0.412,F2V
8454,8.32,   8.93,  1.09, 0.430,F2
8455,9.15,   2.56,  1.17, 0.972,G8IV
8456,8.78,   2.90,  1.16, 0.546,F6V
8457,9.68,   3.53,  1.42, 0.326,A9V
8458,9.25,   6.12,  1.34, 0.407,A2
8459,8.27,   6.66,  1.19, 0.145,A0
8460,8.93,   7.82,  3.19, 0.439,F8+...
8461,8.18,  16.35,  1.16, 0.540,F8
8462,7.94,   3.10,  0.85, 0.051,B9/B9.5V
8463,12.09,   0.30,  3.12,-0.006,
8464,8.3,   3.57,  1.03, 1.000,G5
8465,8.45,   2.63,  0.78, 0.220,A2mA5-A7
8466,8.69,   6.26,  1.10, 0.387,F2V
8467,9.76,   2.63,  1.43, 0.573,B8
8468,6.01,   9.84,  1.05, 0.170,A3V
8469,8.14,  17.34,  1.07, 0.627,G0
8470,7.92,   4.95,  1.00, 1.189,K2IIICN...
8471,8.6,   2.40,  1.03, 1.158,G5
8472,8.87,  10.54,  1.19, 0.544,F7V
8473,6.35,   7.35,  0.74, 1.222,K2/K3III
8474,9.19,  -0.76,  1.23, 1.547,M2III:
8475,11.51,   5.99, 13.73,      ,
8476,9.2,  -0.46,  2.12, 0.014,B5
8477,8.02,   1.24,  1.03, 1.521,K3/K4III:
8478,7.82,   3.69,  0.64,-0.079,B8V
8479,6.72,  43.47,  4.48, 0.654,G0
8480,9.58,   0.64,  1.02, 0.240,B8
8481,8.71,   3.67,  1.15, 1.071,K0
8482,11.17,  20.53,  2.43,      ,
8483,6.9,   3.33,  0.87,-0.066,B8
8484,8.3,   5.67,  1.13, 0.126,A0
8485,9.17,   5.89,  1.24, 0.476,G5
8486,9.54,   9.80,  1.33, 0.722,G6V
8487,8.37,   4.16,  1.15, 1.000,K0
8488,10.97,  15.68, 20.00, 0.566,
8489,8.64,   7.30,  2.04, 0.909,K0III
8490,4.66,  42.35,  0.87, 0.333,F3III
8491,7.93,  20.46,  0.91, 0.664,G5V
8492,7.48,   3.62,  0.64, 1.216,K0III
8493,9.41,   3.33,  0.92, 0.381,F2
8494,8.57,   9.21,  1.08, 0.463,F5V
8495,9.73,   0.69,  1.16, 0.449,B8
8496,9.01,  -0.31,  1.15,-0.117,B5
8497,8.23,  10.79,  1.50, 0.513,F5V
8498,9.65,  -0.16,  0.97, 0.940,G6/G8III/IV
8499,8.16,  13.56,  0.99, 0.537,F5
8500,8.44,   1.51,  0.79, 1.300,K2III
8501,8.89,  15.89,  1.17, 0.658,G5V
8502,8.38,   7.44,  1.24, 0.534,F5
8503,9.25,   1.20,  1.34, 0.891,G8III/IV
8504,9.09,   5.56,  3.66, 0.659,G2V
8505,7.43,   2.55,  0.63, 1.260,K1III
8506,10.64,   2.57,  1.71, 0.761,
8507,6.37,  36.89,  0.72, 0.523,F6V
8508,8.2,   1.03,  0.99,-0.035,B9
8509,8.29,   2.25,  1.02, 1.168,K0
8510,9.49,  16.17,  1.37, 0.732,G6V
8511,9.7,   2.43,  1.55, 0.464,F6V
8512,7.07,   5.11,  1.12, 0.033,A0
8513,8.11,   1.76,  0.69, 0.262,A5
8514,8.36,  -0.61,  1.26, 1.333,Mc
8515,8.56,  19.04,  1.21, 0.648,G8V
8516,10.26,   2.48,  1.65, 0.790,G0
8517,7.43,  10.97,  1.01, 0.621,G1IV
8518,8.07,  25.18,  1.55, 0.856,G5
8519,7.2,   2.84,  0.86, 1.599,K5III
8520,8.47,  13.16,  1.05, 0.592,G1V
8521,8.16,   4.66,  0.92, 0.418,F0
8522,8.07,   4.95,  1.26, 0.870,F7V
8523,8.57,   2.36,  0.72, 1.081,K0III
8524,8.73,   6.93,  1.11, 0.349,A5
8525,8.81,   1.10,  1.30, 1.082,K0
8526,9.39,  10.77,  1.25, 0.892,
8527,8.2,   9.41,  1.53, 0.500,F5V
8528,8.41,   2.77,  1.05, 0.084,A1V
8529,10.69,   1.56,  1.96, 1.377,K0
8530,8.26,   4.52,  1.14, 0.912,G8III/IV
8531,10.69,       ,      ,      ,
8532,8.5,  11.18,  1.31, 0.627,G0
8533,8.62,   9.99,  1.01, 0.386,F0
8534,7.88,   7.09,  0.76, 1.075,K2III/IV
8535,8.32,   4.27,  1.23, 1.048,K0III
8536,8.06,  37.33,  0.97, 0.758,K1V
8537,5.83,   5.68,  1.09, 0.743,K1III+...
8538,8.15,   5.80,  1.47, 0.505,F5
8539,9.84,   2.62,  1.87,      ,F5V
8540,7.36,   4.73,  0.69, 1.117,K2IIICN...
8541,7.07,  23.26,  0.90, 0.569,F8
8542,6.88,   0.22,  0.99, 1.631,M1III
8543,9.22,   6.94,  0.89, 0.550,F5/F6V
8544,8.3,   3.66,  0.84,-0.002,B9
8545,6.14,   6.65,  0.66, 0.998,K1IV
8546,8.44,   5.18,  1.15, 0.875,G8IV
8547,8.66,   1.39,  1.10, 1.507,K5III
8548,9.02,   8.08,  1.21, 0.661,G5III
8549,10.54,   3.23,  1.85, 0.570,F8
8550,7.96,  10.52,  0.97, 0.521,F5
8551,8.56,   4.70,  0.79, 0.241,A4III
8552,9.01,   9.47,  0.77, 0.366,Fwp
8553,10.34,   0.51,  1.99, 0.406,F2
8554,7.39,   4.61,  0.63, 1.107,K0/K1III
8555,9.48,   5.55,  1.16, 0.668,G5V
8556,7.61,   2.86,  0.83, 1.285,K1III
8557,7.57,  18.03,  1.04, 0.468,F6V
8558,7.95,   3.52,  0.93, 1.415,M5III
8559,8.01,   1.44,  1.10, 1.198,K0
8560,7.58,  14.20,  0.93, 0.413,F0
8561,9.52,   8.83,  1.45, 0.729,K0
8562,8.68,   2.54,  1.10, 1.453,K5
8563,8.03,   1.98,  1.08, 1.226,K0
8564,8.36,   0.22,  1.02, 1.609,M0
8565,10.34,   3.22,  1.75, 0.432,F3
8566,9.26,   6.03,  1.28, 0.616,G0V
8567,9.92,   2.36,  2.07, 1.350,M5
